,Company_Name,Job_Title,Location,Easy_Apply,Rating,URL,Summary
45,Cloud Agronomics,Machine Learning Scientist,"Boulder, CO",Easy Apply,,indeed.com/rc/clk?jk=1151446995e68ace&fccid=b80186279e42503b&vjs=3, Experience working with remote sensing and/or geospatial data. Leverage cloud-based technologies to collate and pre-process model input data.
46,GutCheck,Research Science Analyst,"Denver, CO",Easy Apply,,indeed.com/rc/clk?jk=76ba0ad8b2aa64ee&fccid=30535c30c338f715&vjs=3," Apply (or grow, if necessary) your other data science knowledge (e.g., programming, machine learning, simulation, algorithms, data visualization) to the…"
47,ShaleApps,Data Scientist – Logistics Optimization Algorithms,"Denver, CO",Easy Apply,3.3,indeed.com/rc/clk?jk=3c8c3a6614d92a76&fccid=7bac841f4648f136&vjs=3," You will get to work directly with our data science driven CEO, and a very strong team of data scientists and software engineers in defining the frontier of…"
48,Decentrix,DATA SCIENTIST,"Denver, CO",Not Easy Apply,,indeed.com/rc/clk?jk=b0b0329ef6b427ef&fccid=965f05c91b70b412&vjs=3," Advanced degree (Masters/PhD) in business analytics, data science, computer science, statistics, or an equivalent quantitative and technical discipline."
49,Aegon,Data Scientist,"Denver, CO",Not Easy Apply,3.9,indeed.com/rc/clk?jk=46112306afe1687f&fccid=817dbf75ac000d11&vjs=3," Master’s degree or PhD in computer science, machine learning, data science, mathematics, statistics, or related quantitative field."
50,Medtronic,Principal Data Science Engineer,"Boulder, CO",Not Easy Apply,3.9,indeed.com/rc/clk?jk=a6c341d8763d27e6&fccid=f06a4d05bf5510ec&vjs=3," The Principal Data Science Engineer will focus on database development and integration, acting as a data creator and curator to support the data consumers."
51,DISH,Data Scientist,"Englewood, CO",Not Easy Apply,3.3,indeed.com/rc/clk?jk=bd78cb9bd7bba4c9&fccid=3c371b712ace44cf&vjs=3, Great communication skills - someone who is passionate about evangelizing the value ofadvanced data science capabilities.
52,Nutrien Ag Solutions,Senior Data Scientist,"Loveland, CO",Not Easy Apply,3.5,indeed.com/rc/clk?jk=92b1a3dc78332ac1&fccid=cfbfa9d8b2bae993&vjs=3," Masters degree (PhD preferred) in a quantitative discipline such as computer science, statistics, data science, mathematics, economics or equivalent combination…"
53,LOCKHEED MARTIN CORPORATION,"Systems Engineer, Cost and Data Analytics (early career)","Littleton, CO",Not Easy Apply,4.1,indeed.com/rc/clk?jk=baf65635ab326a53&fccid=aeb15e43a6800b9d&vjs=3," Being detail oriented and enjoying analyzing detailed data. Analyst working on affordability analysis, life cycle cost, cost data analytics, forecasting cost…"
54,CitiusTech,Data Scientist,"Denver, CO",Easy Apply,3.9,indeed.com/rc/clk?jk=59201f1d99797458&fccid=d7ffd11f502090e7&vjs=3," Knowledge of databases, data modeling, data normalization etc. is a must. 7-10 years of experience in Data Analysis. Exposure to tools – SPSS, SAS, R, Python."
55,Charles Schwab,Data Engineer,"Lone Tree, CO",Not Easy Apply,4.0,indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bvyxp-5kT5PI0anTaEYoEkcOlTMlp7z8iufLqgdrGl7g7r220Ha0md-YUF76AZTPPI-kAyb9KdkW89xQ0n_b1FjiK3xLf3t1Pq9qOyezUKh2OxQ8yFDkrTlpjQtKM8GGg0llbzGlDt9MlVnyFLYsTs9ucWfxuaTIdPSrHam8xg2x_0-MYauZza06lwM3IV8Vz-eVmkwp-hd-TsC-e8odgv90LJUqqURdf1-dG7v4yy-Wm0oR74auHcNsWQOYJIvPXIy7duAdppf6GsvHOCChZwuH6mVUl3WrRH-siJP_1Zc-eGETYnteYGJ8HKKGIzwPZgC0oC7qaLHz7Xiz2Wcn92JuLMxbtTDHlA3RK8FxerurSprlZ_WVt3LaUAcW5ZFER7EOKHnbxeja2aN8uF69Ms3DeTVPTZa6jqQmfDWnTcYIxyRMX7ZErc-CvIukBKZWmZ6TOKEA95z4Dl8Hrmln9TtphLajI-ejnn9LF7f7mDM_zb11Ne0htWkKsMr17SQ2ctJZWRtgKSuRIJUY_LNY7hq56zaWQWqPRz72Rf2ssLOTUOU5Zc4U_LiklUOJ2O_zDLaGIW0KjDOr_VH25zaB6EJVJ4IXfxeNQ=&p=55&fvj=0&vjs=3," Designing, building and support data processing pipelines to transform data in Big Data or Teradata platforms. Your detailed duties would include:"
